"Date","Currency","Mean","Buy","Sell"
"24/02/2023","EURO","133.9741","133.8476","134.1006"
"23/02/2023","EURO","134.2924","134.1641","134.4206"
"22/02/2023","EURO","134.4568","134.3318","134.5818"
"21/02/2023","EURO","134.5626","134.4388","134.6865"
"20/02/2023","EURO","133.6065","133.4812","133.7318"
"17/02/2023","EURO","134.3482","134.2218","134.4747"
"16/02/2023","EURO","134.4341","134.3076","134.5606"
"15/02/2023","EURO","134.8818","134.7547","135.0088"
"14/02/2023","EURO","133.8050","133.6782","133.9318"
"13/02/2023","EURO","133.8853","133.7606","134.0100"
"10/02/2023","EURO","134.7318","134.6076","134.8559"
"09/02/2023","EURO","134.1426","134.0176","134.2676"
"08/02/2023","EURO","133.8185","133.6924","133.9447"
"07/02/2023","EURO","134.5638","134.4429","134.6847"
"06/02/2023","EURO","136.2968","136.1665","136.4271"
"03/02/2023","EURO","136.4094","136.2800","136.5388"
"02/02/2023","EURO","135.5626","135.4324","135.6929"
"01/02/2023","EURO","134.9229","134.7918","135.0541"
"31/01/2023","EURO","135.3303","135.2018","135.4588"
"30/01/2023","EURO","135.3279","135.1971","135.4588"
"27/01/2023","EURO","135.5991","135.4700","135.7282"
"26/01/2023","EURO","135.2191","135.0853","135.3529"
"25/01/2023","EURO","135.1997","135.0659","135.3335"
"24/01/2023","EURO","135.0118","134.8818","135.1418"
"23/01/2023","EURO","134.3350","134.2053","134.4647"
"20/01/2023","EURO","134.2068","134.0806","134.3329"
"19/01/2023","EURO","133.8213","133.6912","133.9514"
"18/01/2023","EURO","134.2853","134.1594","134.4112"
"17/01/2023","EURO","134.0512","133.9206","134.1818"
"16/01/2023","EURO","133.9282","133.7959","134.0606"
"13/01/2023","EURO","133.3156","133.1818","133.4494"
"12/01/2023","EURO","132.9318","132.8029","133.0606"
"11/01/2023","EURO","132.7632","132.6347","132.8918"
"10/01/2023","EURO","132.2112","132.0800","132.3424"
"09/01/2023","EURO","130.1741","130.0471","130.3012"
"06/01/2023","EURO","131.0882","130.9641","131.2124"
"05/01/2023","EURO","131.0097","130.8853","131.1341"
"04/01/2023","EURO","130.6494","130.5241","130.7747"
"03/01/2023","EURO","131.6574","131.5300","131.7847"
"30/12/2022","EURO","131.2653","131.1400","131.3906"
"29/12/2022","EURO","131.2706","131.1418","131.3994"
"28/12/2022","EURO","130.7938","130.6671","130.9206"
"23/12/2022","EURO","130.9265","130.7965","131.0565"
"22/12/2022","EURO","130.8697","130.7447","130.9947"
"21/12/2022","EURO","130.5971","130.4647","130.7294"
"20/12/2022","EURO","130.5626","130.4353","130.6900"
"19/12/2022","EURO","130.7709","130.6441","130.8976"
"16/12/2022","EURO","130.6297","130.5024","130.7571"
"15/12/2022","EURO","130.8259","130.6982","130.9535"
"14/12/2022","EURO","130.6965","130.5753","130.8176"
"13/12/2022","EURO","129.6341","129.5106","129.7576"
"09/12/2022","EURO","129.1126","128.9929","129.2324"
"08/12/2022","EURO","129.0738","128.9488","129.1988"
"07/12/2022","EURO","128.9059","128.7829","129.0288"
"06/12/2022","EURO","129.6465","129.5176","129.7753"
"05/12/2022","EURO","129.2118","129.0847","129.3388"
"02/12/2022","EURO","128.3256","128.2012","128.4500"
"01/12/2022","EURO","126.9685","126.8476","127.0894"
"30/11/2022","EURO","127.1250","127.0012","127.2488"
"29/11/2022","EURO","127.9229","127.7953","128.0506"
"28/11/2022","EURO","127.0835","126.9641","127.2029"
"25/11/2022","EURO","127.3288","127.2059","127.4518"
"24/11/2022","EURO","126.2306","126.1100","126.3512"
"23/11/2022","EURO","126.0147","125.8882","126.1412"
"22/11/2022","EURO","125.3156","125.1965","125.4347"
"21/11/2022","EURO","126.6691","126.5453","126.7929"
"18/11/2022","EURO","126.3115","126.1859","126.4371"
"17/11/2022","EURO","126.9421","126.8159","127.0682"
"16/11/2022","EURO","126.9665","126.8418","127.0912"
"15/11/2022","EURO","125.6509","125.5276","125.7741"
"14/11/2022","EURO","125.2694","125.1465","125.3924"
"11/11/2022","EURO","122.1950","122.0771","122.3129"
"10/11/2022","EURO","122.3362","122.2182","122.4541"
"09/11/2022","EURO","121.5888","121.4724","121.7053"
"08/11/2022","EURO","121.3618","121.2429","121.4806"
"07/11/2022","EURO","119.4753","119.3594","119.5912"
"04/11/2022","EURO","118.8459","118.7294","118.9624"
"03/11/2022","EURO","120.3418","120.2229","120.4606"
"02/11/2022","EURO","120.4262","120.3047","120.5476"
"01/11/2022","EURO","120.3350","120.2129","120.4571"
"31/10/2022","EURO","121.0926","120.9776","121.2076"
"28/10/2022","EURO","121.6441","121.5259","121.7624"
"27/10/2022","EURO","121.4762","121.3571","121.5953"
"26/10/2022","EURO","119.9856","119.8700","120.1012"
"25/10/2022","EURO","119.2459","119.1318","119.3600"
"24/10/2022","EURO","118.2618","118.1459","118.3776"
"21/10/2022","EURO","118.6850","118.5659","118.8041"
"19/10/2022","EURO","119.1753","119.0576","119.2929"
"18/10/2022","EURO","117.9791","117.8600","118.0982"
"17/10/2022","EURO","118.0559","117.9382","118.1735"
"14/10/2022","EURO","117.3497","117.2329","117.4665"
"13/10/2022","EURO","117.3953","117.2794","117.5112"
"12/10/2022","EURO","117.5347","117.4159","117.6535"
"11/10/2022","EURO","118.7226","118.6065","118.8388"
"07/10/2022","EURO","119.5056","119.3871","119.6241"
"06/10/2022","EURO","119.9215","119.8035","120.0394"
"05/10/2022","EURO","119.0332","118.9176","119.1488"
"04/10/2022","EURO","118.3379","118.2224","118.4535"
"03/10/2022","EURO","118.2485","118.1329","118.3641"
"30/09/2022","EURO","117.1341","117.0188","117.2494"
"29/09/2022","EURO","115.6297","115.5159","115.7435"
"28/09/2022","EURO","116.3812","116.2653","116.4971"
"27/09/2022","EURO","116.4459","116.3312","116.5606"
"26/09/2022","EURO","118.2091","118.0918","118.3265"
"23/09/2022","EURO","119.2303","119.1124","119.3482"
"22/09/2022","EURO","119.7479","119.6276","119.8682"
"21/09/2022","EURO","120.4394","120.3188","120.5600"
"20/09/2022","EURO","120.2729","120.1512","120.3947"
"19/09/2022","EURO","120.2226","120.1041","120.3412"
"16/09/2022","EURO","120.3279","120.2082","120.4476"
"15/09/2022","EURO","120.7109","120.5935","120.8282"
"14/09/2022","EURO","121.7694","121.6471","121.8918"
"12/09/2022","EURO","120.6388","120.5147","120.7629"
"09/09/2022","EURO","120.1029","119.9818","120.2241"
"08/09/2022","EURO","119.2741","119.1541","119.3941"
"07/09/2022","EURO","119.5024","119.3829","119.6218"
"06/09/2022","EURO","119.3124","119.1929","119.4318"
"05/09/2022","EURO","120.1256","120.0071","120.2441"
"02/09/2022","EURO","120.0232","119.9029","120.1435"
"01/09/2022","EURO","120.0785","119.9612","120.1959"
"31/08/2022","EURO","120.0915","119.9724","120.2106"
"30/08/2022","EURO","119.8932","119.7741","120.0124"
"29/08/2022","EURO","119.8085","119.6947","119.9224"
"26/08/2022","EURO","119.5903","119.4718","119.7088"
"25/08/2022","EURO","119.1259","119.0141","119.2376"
"24/08/2022","EURO","119.2529","119.1353","119.3706"
"23/08/2022","EURO","119.8450","119.7300","119.9600"
"22/08/2022","EURO","120.6194","120.5018","120.7371"
"19/08/2022","EURO","121.5753","121.4553","121.6953"
"18/08/2022","EURO","121.3479","121.2247","121.4712"
"17/08/2022","EURO","121.3479","121.2247","121.4712"
"16/08/2022","EURO","122.0456","121.9241","122.1671"
"15/08/2022","EURO","122.5900","122.4682","122.7118"
"12/08/2022","EURO","122.8929","122.7729","123.0129"
"11/08/2022","EURO","122.3432","122.2235","122.4629"
"10/08/2022","EURO","121.4894","121.3676","121.6112"
"08/08/2022","EURO","121.5015","121.3782","121.6247"
"05/08/2022","EURO","121.3076","121.1859","121.4294"
"04/08/2022","EURO","121.2065","121.0865","121.3265"
"03/08/2022","EURO","121.6821","121.5629","121.8012"
"02/08/2022","EURO","121.8665","121.7476","121.9853"
"01/08/2022","EURO","121.2209","121.1012","121.3406"
"29/07/2022","EURO","120.6665","120.5447","120.7882"
"28/07/2022","EURO","120.5879","120.4682","120.7076"
"27/07/2022","EURO","120.7962","120.6747","120.9176"
"26/07/2022","EURO","121.2409","121.1188","121.3629"
"25/07/2022","EURO","120.7306","120.6094","120.8518"
"22/07/2022","EURO","120.8756","120.7582","120.9929"
"21/07/2022","EURO","121.0215","120.9024","121.1406"
"20/07/2022","EURO","120.6579","120.5365","120.7794"
"19/07/2022","EURO","119.6141","119.4924","119.7359"
"18/07/2022","EURO","118.7735","118.6541","118.8929"
"15/07/2022","EURO","118.6279","118.5059","118.7500"
"14/07/2022","EURO","118.6891","118.5694","118.8088"
"13/07/2022","EURO","119.0891","118.9712","119.2071"
"12/07/2022","EURO","119.8841","119.7665","120.0018"
"08/07/2022","EURO","120.6747","120.5600","120.7894"
"07/07/2022","EURO","121.0612","120.9424","121.1800"
"06/07/2022","EURO","121.9179","121.7976","122.0382"
"05/07/2022","EURO","123.2059","123.0818","123.3300"
"04/07/2022","EURO","123.2156","123.0924","123.3388"
"01/07/2022","EURO","123.0626","122.9394","123.1859"
"30/06/2022","EURO","124.0203","123.8929","124.1476"
"29/06/2022","EURO","124.6076","124.4829","124.7324"
"28/06/2022","EURO","124.7950","124.0782","125.5118"
"27/06/2022","EURO","123.9012","123.7735","124.0288"
"24/06/2022","EURO","123.7350","123.6082","123.8618"
"23/06/2022","EURO","123.6785","123.5524","123.8047"
"22/06/2022","EURO","123.8768","123.7565","123.9971"
"21/06/2022","EURO","123.4547","123.3288","123.5806"
"20/06/2022","EURO","123.1982","123.0735","123.3229"
"17/06/2022","EURO","122.4168","122.2929","122.5406"
"16/06/2022","EURO","122.4682","122.3447","122.5918"
"15/06/2022","EURO","122.8385","122.7141","122.9629"
"14/06/2022","EURO","123.0994","122.9771","123.2218"
"13/06/2022","EURO","124.4741","124.3506","124.5976"
"10/06/2022","EURO","125.3362","125.2129","125.4594"
"09/06/2022","EURO","125.3159","125.1906","125.4412"
